,sim_time
0,8.740641772014904
1,5.289794614621833
2,4.606565219119412
3,8.290285804679986
4,3.217086497075588
5,45.846234721120865
6,25.41616137299862
7,27.00136953671772
8,31.95963981312304
9,3.8878643028776474
10,10.936830033865608
11,14.083070218776301
12,8.113386057252416
13,7.719414480997165
14,10.113961650468195
15,30.25873982951574
16,59.21466995180024
17,14.650014631340063
18,13.95287852962607
19,33.56334837614236
20,25.001883693171962
21,6.500321015897821
22,28.774988440347244
23,3.4670777391882677
24,3.7897955018464478
25,15.168806133519526
26,9.121376279278106
27,3.044540833394475
28,28.96178191439311
29,5.6180643663731535
30,5.6021898718351535
31,15.053254385025847
32,3.2702557763015427
33,46.89178793003118
34,40.26568839341641
35,22.65166755241423
36,35.96684969868048
37,7.248990326562419
38,11.12421910843148
39,46.965703008221745
40,9.68812519766865
41,12.55720248228034
42,5.249477896991136
43,5.89612155520812
44,3.249855569724647
45,4.351045658055875
46,5.354932223564454
47,6.443420588810948
48,8.785247404072386
49,23.39226186688829
50,14.421262432108966
51,4.9690481293402025
52,3.3143086338199925
53,8.719995231839704
54,3.9544152764511757
55,32.84119226776389
56,8.285723005668348
57,3.980845104839259
58,16.1542301261085
59,6.8427653566768605
60,27.912140885911473
61,18.998208956406046
62,4.6188256437178365
63,19.888853232352144
64,44.00006635095519
65,7.99185604479286
66,7.367387393173245
67,16.721492985168993
68,21.431966904512745
69,15.853418510955425
70,16.767764864860414
71,11.957346050295651
72,17.88232014413228
73,8.975768543830409
74,15.909520954241469
75,10.877600724469072
76,7.175445571964236
77,25.984926671350063
78,4.5056881035734415
79,15.186368364189068
80,9.211282840294894
81,6.916080780658772
82,9.912014660375219
83,4.779238864927018
84,17.341836455252643
85,9.710736138060533
86,38.979227528813524
87,5.902545866686426
88,20.636491747937715
89,7.521225685205766
90,11.439007176263388
91,8.640465308633978
92,12.927782038377966
93,9.770479705128725
94,43.531013444541905
95,15.576981598652672
96,7.966474659565333
97,7.165238430758066
98,15.971600799616413
99,7.2193836592501635
100,6.059136487446911
101,3.7552207665281916
102,47.801739691885956
103,5.486297691466811
104,25.445361484793473
105,41.87721879476424
106,11.784301825457185
107,28.673583718993402
108,10.957542786294363
109,3.7401926321533927
110,4.754608092263941
111,6.639729557957361
112,9.170476836963694
113,30.162514584248637
114,4.7352769411729865
115,15.888896721774495
116,11.788144395901888
117,22.978462992643312
118,10.023859087269884
119,21.625352481435215
120,3.2790427532432096
121,29.978989190918025
122,11.583350788394606
123,30.98169457632042
124,16.96485933460826
125,4.464026755905657
126,10.37598684549711
127,19.45535155842122
128,15.010003683465003
129,9.843392998097055
130,7.2450504301709175
131,9.744515132191307
132,54.00336675095539
133,32.45390843183215
134,22.464076292532464
135,8.881204140504398
136,54.120432104175215
137,23.85929279886136
138,16.51693461667347
139,18.621587427287118
140,24.76602554407715
141,30.88441319067413
142,19.684268804093467
143,22.312080745198692
144,5.735183975451459
145,8.130708301376691
146,9.57505869886021
147,8.670222193040278
148,35.013874970946055
149,11.641511901080607
150,31.877768924086357
151,29.351712150355507
152,35.66975901549037
153,13.072913910587255
154,25.187453435413904
155,30.831018657225112
156,7.030037006118758
157,7.8083732075846655
158,14.1838950324273
159,8.567685854440997
160,36.77750234637304
161,7.4781432370210865
162,4.294617619371046
163,10.159770771581126
164,37.39707602735749
165,11.977744618011693
166,37.10981520600936
167,23.54744609350062
168,12.42536876258757
169,82.47056429298996
170,23.65904399959955
171,4.317584401902906
172,3.231584825354708
173,10.52102726056997
174,8.043127864014476
175,32.726751267637525
176,15.121395401590783
177,21.99896418870096
178,5.007246674729386
179,6.7009706426087146
180,39.56478849780557
181,7.847941102135004
182,6.383473768040127
183,12.569814248733563
184,12.409927829735771
185,7.1229623350482365
186,20.778426912130058
187,10.17229925528195
188,16.846284957866224
189,22.885498883375547
190,8.007956320089972
191,5.109191733322302
192,37.562449848815184
193,3.1941000119621488
194,14.437705399254261
195,34.20891915287276
196,4.906825878660925
197,69.10411930735894
198,4.708736238705818
199,17.184079908638594
200,13.965000074542527
201,21.67962747524013
202,13.987034916290838
203,10.73608912306203
204,22.737941397991417
205,8.478491010482477
206,14.170157694335268
207,9.85465238251458
208,4.962325408926224
209,28.73570050906234
210,4.635879254615849
211,22.179428289205728
212,3.459331018675379
213,7.903653903883319
214,3.1829216889334133
215,3.6925367145457226
216,3.587010388706771
217,8.044326875038657
218,24.036398516389994
219,14.344158435740997
220,24.073004341468803
221,7.7077070499283025
222,4.371204855081769
223,14.087217483066244
224,7.37818641666387
225,5.634526045679822
226,25.289354358601013
227,3.318924255822901
228,25.02082991002516
229,3.9582816962296223
230,10.450541474124622
231,53.20400227144645
232,5.276062640117244
233,14.102823165735025
234,31.693024095178153
235,8.681624963499102
236,6.885754640826381
237,10.31479789354298
238,32.147846849446594
239,13.430736429088837
240,20.857093616622446
241,9.076504597513757
242,6.79289505169478
243,12.27967795921014
244,17.14840154381625
245,5.881713474129791
246,6.794163423743113
247,4.94825976268014
248,4.0222517148412695
249,14.10489079125722
250,6.785919713288506
251,32.94680855424927
252,10.340792042355229
253,5.507818419877669
254,5.103437231284013
255,55.21428090764456
256,16.09661622122605
257,27.76217639454635
258,11.709565497029025
259,12.626843441020927
260,5.313636226107316
261,14.421775102265125
262,33.15263878996761
263,18.996513134391947
264,37.20557348966044
265,4.959592570980327
266,6.062444881230374
267,7.469301413532953
